Input Size,Data Structure,Insertion Time (ms),Deletion Time (ms)
5,List,0.004855,0.00275
10,List,0.005283,0.00328
20,List,0.001605,0.001287
50,List,0.007811,0.00562
100,List,0.004294,0.002893
1000,List,0.097924,0.072714
5000,List,0.137437,0.098209
10000,List,0.26055,0.195734
15000,List,0.399083,0.32183
100000,List,2.64653,2.20593
500000,List,16.2771,12.2354
5,Vector,0.002465,0.000151
10,Vector,0.002658,0.000198
20,Vector,0.009627,0.001349
50,Vector,0.003101,0.000742
100,Vector,0.003514,0.001339
1000,Vector,0.020784,0.026276
5000,Vector,1.03118,1.07188
10000,Vector,0.973669,1.00808
15000,Vector,2.22934,2.52251
100000,Vector,137.726,133.884
500000,Vector,4407.88,4483.67
