Size,MaxValue,std::sort Time,Counting Sort Time
100,10,8.325e-06,4.361e-06
100,100,9.098e-06,5.198e-06
100,1000,1.0484e-05,1.0619e-05
100,10000,9.172e-06,6.9829e-05
1000,10,9.8389e-05,2.982e-05
1000,100,0.000119639,3.0347e-05
1000,1000,0.000129588,4.2991e-05
1000,10000,0.000124638,0.00010238
10000,10,0.00120954,0.000310181
10000,100,0.0016031,0.000309897
10000,1000,0.00174073,0.00038712
10000,10000,0.00212495,0.000458362
100000,10,0.0194463,0.00423425
100000,100,0.0189529,0.00317246
100000,1000,0.0207851,0.00378815
100000,10000,0.0229422,0.00497655
